Trial,Species,Dosage Level,Tank,Standard length,Weight
Indoor,BLG,0 mg,1,82,16.31
Indoor,BLG,0 mg,1,88,21.94
Indoor,BLG,0 mg,1,91,26.26
Indoor,BLG,0 mg,1,111,42.18
Indoor,BLG,0 mg,1,120,55.35
Indoor,BLG,0 mg,1,123,61.1
Indoor,CAP,0 mg,1,54,5.14
Indoor,CAP,0 mg,1,75,13.06
Indoor,CAP,0 mg,1,76,13.43
Indoor,CAP,0 mg,1,76,13.56
Indoor,CAP,0 mg,1,78,13.72
Indoor,CAP,0 mg,1,78,14.33
Indoor,FHM,0 mg,1,45,2.06
Indoor,FHM,0 mg,1,50,2.65
Indoor,FHM,0 mg,1,59,5.47
Indoor,FHM,0 mg,1,66,8.3
Indoor,FHM,0 mg,1,72,9.67
Indoor,YEP,0 mg,1,52,2.29
Indoor,YEP,0 mg,1,53,2.47
Indoor,YEP,0 mg,1,56,2.72
Indoor,YEP,0 mg,1,56,2.94
Indoor,YEP,0 mg,1,60,3.55
Indoor,YEP,0 mg,1,60,4.14
Indoor,BLG,0 mg,2,94,28.21
Indoor,BLG,0 mg,2,100,32.22
Indoor,BLG,0 mg,2,104,35.07
Indoor,BLG,0 mg,2,103,37.08
Indoor,BLG,0 mg,2,111,48.95
Indoor,BLG,0 mg,2,122,66.39
Indoor,CAP,0 mg,2,65,8.74
Indoor,CAP,0 mg,2,71,11.08
Indoor,CAP,0 mg,2,68,12.01
Indoor,CAP,0 mg,2,78,13.96
Indoor,CAP,0 mg,2,74,13.99
Indoor,CAP,0 mg,2,80,15.63
Indoor,FHM,0 mg,2,45,1.8
Indoor,FHM,0 mg,2,48,2.28
Indoor,FHM,0 mg,2,49,2.43
Indoor,FHM,0 mg,2,56,3.58
Indoor,FHM,0 mg,2,67,6.2
Indoor,YEP,0 mg,2,56,2.7
Indoor,YEP,0 mg,2,55,2.89
Indoor,YEP,0 mg,2,57,3.1
Indoor,YEP,0 mg,2,57,3.25
Indoor,YEP,0 mg,2,59,3.41
Indoor,YEP,0 mg,2,61,3.98
Indoor,BLG,0 mg,3,84,18.63
Indoor,BLG,0 mg,3,88,22.72
Indoor,BLG,0 mg,3,91,27.58
Indoor,BLG,0 mg,3,101,34.03
Indoor,BLG,0 mg,3,115,53.56
Indoor,BLG,0 mg,3,114,54.41
Indoor,CAP,0 mg,3,67,9.5
Indoor,CAP,0 mg,3,71,11.04
Indoor,CAP,0 mg,3,73,12.08
Indoor,CAP,0 mg,3,75,13.09
Indoor,CAP,0 mg,3,76,13.18
Indoor,CAP,0 mg,3,79,13.53
Indoor,FHM,0 mg,3,49,2.7
Indoor,FHM,0 mg,3,50,2.8
Indoor,FHM,0 mg,3,56,3.39
Indoor,FHM,0 mg,3,55,4.28
Indoor,FHM,0 mg,3,61,6.08
Indoor,YEP,0 mg,3,47,1.87
Indoor,YEP,0 mg,3,52,2.14
Indoor,YEP,0 mg,3,51,2.45
Indoor,YEP,0 mg,3,57,2.68
Indoor,YEP,0 mg,3,54,2.69
Indoor,YEP,0 mg,3,60,3.78
Indoor,BLG,0 mg,7,87,22.28
